Athlete,Home_Location,Country,2022,2023,2024
Emma Johnson,"Boston, MA",USA,11.42,11.25,11.1
Carlos Ruiz,"Madrid, Spain",Spain,10.91,10.84,10.79
Maya Patel,"Mumbai, India",India,11.67,11.51,11.4
Liam Chen,"Toronto, Canada",Canada,10.98,10.91,10.88
Aisha Brown,"Atlanta, GA",USA,11.34,11.2,11.08
Noah Kim,"Seoul, South Korea",South Korea,10.85,10.77,10.7
Sofia Rossi,"Rome, Italy",Italy,11.18,11.02,10.96
Daniel Smith,"Denver, CO",USA,10.95,10.83,10.76
Lena Müller,"Berlin, Germany",Germany,11.51,11.36,11.24
Mateo Garcia,"Mexico City, Mexico",Mexico,10.88,10.73,10.69
Zara Khan,"Lahore, Pakistan",Pakistan,11.26,11.1,10.98
Ethan Davis,"Austin, TX",USA,10.99,10.82,10.74
